Required,-1,-1,LAIS100,CSM101,CSCI101,CHGN121,MATH111,PHGN100,CSCI261,MATH112,EPIC151,CSCI262,PHGN200,MATH213,CSCI358,EBGN201,CSCI341,MATH225,LAIS200,CSCI274,CSCI306,MATH332,CSCI403,CSCI406,MATH201,CSCI442,CSCI400
Electives_PAGN,4,0.5,PAGN102,PAGN201,PAGN207,PAGN210,PAGN205,PAGN221,PAGN232,PAGN257
Electives _DS,1,4,CBEN110,GEGN101,CHGN122,CHGN125
Electives_free,6,3,EENG281,EENG284,EBGN320,EBGN321,EBGN345,EBGN346,EBGN360,EBGN425,EBGN460,EBGN485,EENG307,GPGN350,MATH334,MATH335,MATH424,MATH432,MATH436,MATH437,MATH438,MATH439,MEGN441,EBGN361,EBGN321
Electives_csci,4,3,CSCI404,CSCI423,CSCI437,CSCI440,CSCI441,CSCI444,CSCI445,CSCI446,CSCI448,CSCI455,CSCI470,CSCI471,CSCI473,CSCI474,CSCI475,CSCI498,EENG383,MATH307
Electives_mid_hss,2,3,LAIS226,LAIS220,LAIS201,LAIS2202
Electives_high_hss,1,3,LAIS409,LAIS407
